cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
EMC-BAC-1	Homo sapiens	lung	lung adenocarcinoma	no available	no available	not available	no available	no available
EMC-BAC-2	Homo sapiens	lung	lung adenocarcinoma	no available	no available	not available	no available	no available
HuO-3N1	Homo sapiens	bone	osteosarcoma	no available	no available	female	no available	no available
HuO9	Homo sapiens	bone	osteosarcoma	no available	no available	female	no available	no available
IST-SL1	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
IST-SL2	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
LB647-SCLC	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
LC-1-sq	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	male	no available	no available
LC-2-ad	Homo sapiens	lung	non-small cell lung adenocarcinoma	no available	no available	female	no available	no available
LU-134-A	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
LU-135	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
LU-139	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
LU-165	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
MS-1	Homo sapiens	lung	small cell lung carcinoma	no available	no available	not available	no available	no available
NCI-H128	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
NCI-H1304	Homo sapiens	lung	small cell lung carcinoma	no available	no available	female	no available	no available
NCI-H1417	Homo sapiens	lung	small cell lung carcinoma	no available	no available	female	no available	no available
NCI-H1688	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
NCI-H1770	Homo sapiens	lung	lung carcinoma; non-small cell lung carcinoma	57 year	no available	male; not available	no available	no available
NCI-H187	Homo sapiens	lung	small cell lung carcinoma	47 year	no available	male	no available	no available
NCI-H1993	Homo sapiens	lung	non-small cell lung adenocarcinoma	no available	no available	female	no available	no available
NCI-H2135	Homo sapiens	lung	non-small cell lung carcinoma	not available	no available	not available	no available	no available
NCI-H2141	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
NCI-H250	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
NCI-H345	Homo sapiens	lung	small cell lung carcinoma	64 year	no available	male	no available	no available
NCI-H378	Homo sapiens	lung	small cell lung carcinoma	no available	no available	female	no available	no available
NOS-1	Homo sapiens	bone	osteosarcoma	no available	no available	male	no available	no available
NY	Homo sapiens	bone	osteosarcoma	no available	no available	not available	no available	no available
143b	Homo sapiens	bone	osteosarcoma	no available	no available	female	no available	no available
HOSMNNG	Homo sapiens	bone	osteosarcoma	no available	no available	not available	no available	no available
HAL	Homo sapiens	bone	osteosarcoma	no available	no available	not available	no available	no available
KPD	Homo sapiens	bone	osteosarcoma	no available	no available	not available	no available	no available
OST	Homo sapiens	bone	osteosarcoma	no available	no available	not available	no available	no available
OHS	Homo sapiens	bone	osteosarcoma	no available	no available	not available	no available	no available
MHM	Homo sapiens	bone	osteosarcoma	no available	no available	not available	no available	no available
451Lu	Homo sapiens	skin	melanoma	no available	no available	not available	no available	no available
A388	Homo sapiens	skin	squamous cell carcinoma	no available	no available	male	no available	no available
A431	Homo sapiens	skin	carcinoma; squamous cell carcinoma			female	no available	
CHL-1	Homo sapiens	skin	melanoma	not available	no available	not available	no available	no available
CHSA0011	Homo sapiens	bone	chondrosarcoma	no available	no available	not available	no available	no available
CHSA0108	Homo sapiens	bone	chondrosarcoma	no available	no available	not available	no available	no available
CHSA8926	Homo sapiens	bone	chondrosarcoma	no available	no available	not available	no available	no available
COLO-824	Homo sapiens	breast	breast carcinoma	no available	no available	female	no available	no available
CP66-MEL	Homo sapiens	skin	melanoma	no available	no available	male	no available	no available
ES3	Homo sapiens	bone	Ewing sarcoma	no available	no available	male	no available	no available
ES4	Homo sapiens	bone	Ewing sarcoma	no available	no available	male	no available	no available
MCC13	Homo sapiens	skin	Merkel cell carcinoma	no available	no available	female	no available	no available
MDA-MB-330	Homo sapiens	breast	invasive lobular carcinoma; breast carcinoma	43 year	no available	female	no available	no available
MFM-223	Homo sapiens	breast	ductal carcinoma; breast ductal adenocarcinoma; breast carcinoma	not available	not available	female; not available	no available	no available
MRK-nu-1	Homo sapiens	breast	breast carcinoma	no available	no available	female	no available	no available
NCI-H510A	Homo sapiens	lung	small cell lung carcinoma	56 year	no available	male	no available	no available
NCI-H64	Homo sapiens	lung	small cell lung carcinoma	no available	no available	female	no available	no available
NCI-H720	Homo sapiens	lung	atypical carcinoid tumor	no available	no available	male	no available	no available
NCI-H740	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
EW-13	Homo sapiens	bone	Ewing sarcoma	no available	no available	not available	no available	no available
EW-16	Homo sapiens	bone	Ewing sarcoma	no available	no available	not available	no available	no available
EW-18	Homo sapiens	bone	Ewing sarcoma	no available	no available	not available	no available	no available
EW-22	Homo sapiens	bone	Ewing sarcoma	no available	no available	not available	no available	no available
EW-24	Homo sapiens	bone	Ewing sarcoma	no available	no available	not available	no available	no available
EW-7	Homo sapiens	bone	Ewing sarcoma	no available	no available	female	no available	no available
GAK	Homo sapiens	skin	melanoma	no available	no available	female	no available	no available
G-MEL	Homo sapiens	skin	melanoma	no available	no available	not available	no available	no available
H-EMC-SS	Homo sapiens	bone	chondrosarcoma	no available	no available	female	no available	no available
HMV-II	Homo sapiens	skin	melanoma	no available	no available	female	no available	no available
IST-MEL1	Homo sapiens	skin	melanoma	no available	no available	not available	no available	no available
K2	Homo sapiens	skin	melanoma	no available	no available	not available	no available	no available
LB2518-MEL	Homo sapiens	skin	melanoma	no available	no available	female	no available	no available
LB373-MEL-D	Homo sapiens	skin	melanoma	no available	no available	female	no available	no available
ASH-3	Homo sapiens	thyroid gland	thyroid carcinoma	no available	no available	female	no available	no available
BB65-RCC	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	male	no available	no available
CGTH-W-1	Homo sapiens	thyroid gland	follicular thyroid carcinoma	no available	no available	female	no available	no available
HA7-RCC	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	male	no available	no available
HTC-C3	Homo sapiens	thyroid gland	thyroid carcinoma	no available	no available	female	no available	no available
IHH-4	Homo sapiens	thyroid gland	thyroid carcinoma	no available	no available	male	no available	no available
IM-9	Homo sapiens	hematopoietic system	multiple myeloma	no available	no available	female	no available	no available
K5	Homo sapiens	thyroid gland	thyroid carcinoma	no available	no available	not available	no available	no available
KMH-2	Homo sapiens	thyroid gland	thyroid carcinoma	no available	no available	not available	no available	no available
LB2241-RCC	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	male	no available	no available
LB996-RCC	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	male	no available	no available
MCC26	Homo sapiens	skin; skin 	Merkel cell carcinoma	82	adult	female	no available	
MC-CAR	Homo sapiens	hematopoietic system	plasmacytoma	no available	no available	male	no available	no available
MMAC-SF	Homo sapiens	skin	melanoma	no available	no available	female	no available	no available
MZ2-MEL	Homo sapiens	skin	melanoma	no available	no available	not available	no available	no available
MZ7-mel	Homo sapiens	skin	melanoma	no available	no available	female	no available	no available
NCC021	Homo sapiens	kidney	renal cell carcinoma	no available	no available	not available	no available	no available
NCI-H748	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
NCI-H820	Homo sapiens	lung	papillary lung adenocarcinoma; lung adenocarcinoma	not available	no available	male	no available	no available
NCI-H835	Homo sapiens	lung	carcinoid tumor	no available	no available	female	no available	no available
NCI-H847	Homo sapiens	lung	small cell lung carcinoma	63 year	no available	male	no available	no available
