cell line	synonyms	organism part	disease	sampling site	cancer type detail	cellosaurus accession	organism	sex	ancestry category	age	model_id	sample_id	patient_id
L-82	no available	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Pleural Effusion	Anaplastic Large Cell Lymphoma	CVCL_2098	Homo Sapiens	Female	Unknown	24	SIDM01392	SIDS01387	SIDP01271
WM983A	no available	Skin	Melanoma	Skin	Melanoma	CVCL_6808	Homo Sapiens	Unknown	Unknown	no available	SIDM01396	SIDS01517	SIDP01397
UOK101	no available	Kidney	Kidney Carcinoma	Kidney	Clear Cell Renal Cell Carcinoma	CVCL_B076	Homo Sapiens	Unknown	Unknown	no available	SIDM01400	SIDS01513	SIDP01394
UM-UC-7	no available	Bladder	Bladder Carcinoma	Bladder	Bladder Carcinoma	CVCL_2752	Homo Sapiens	Male	Unknown	no available	SIDM01402	SIDS01511	SIDP01392
UM-UC-16	no available	Bladder	Bladder Carcinoma	Bladder	Bladder Carcinoma	CVCL_2748	Homo Sapiens	Unknown	Unknown	no available	SIDM01404	SIDS01509	SIDP01390
RH-28	no available	Soft Tissue	Rhabdomyosarcoma	Axillary Lymph Node	Alveolar Rhabdomyosarcoma	CVCL_8752	Homo Sapiens	Male	Unknown	17	SIDM01333	SIDS01444	SIDP01325
SMS-CTR	no available	Soft Tissue	Rhabdomyosarcoma	Pelvic Region	Embryonal Rhabdomyosarcoma	CVCL_A770	Homo Sapiens	Male	Unknown	1	SIDM01337	SIDS01457	SIDP01338
SCS214	no available	Soft Tissue	Other Solid Cancers	Unknown	Synovial Sarcoma	CVCL_WU91	Homo Sapiens	Unknown	Unknown	no available	SIDM01345	SIDS01449	SIDP01330
RH-4	no available	Soft Tissue	Rhabdomyosarcoma	Liver	Alveolar Rhabdomyosarcoma	CVCL_5916	Homo Sapiens	Female	Unknown	no available	SIDM01349	SIDS01147	SIDP01034
SF172	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_V613	Homo Sapiens	Female	Unknown	no available	SIDM01351	SIDS01451	SIDP01332
PaCaDD-135	no available	Pancreas	Pancreatic Carcinoma	Lymph Node	Pancreatic Ductal Adenocarcinoma	CVCL_1849	Homo Sapiens	Female	White	48	SIDM01353	SIDS01424	SIDP01306
MM370	no available	Skin	Melanoma	Lymph Node	Melanoma	CVCL_2605	Homo Sapiens	Unknown	Unknown	no available	SIDM01355	SIDS01402	SIDP01285
Mel-202	no available	Eye	Melanoma	Eye	Uveal Melanoma	CVCL_C301	Homo Sapiens	Unknown	Unknown	no available	SIDM01357	SIDS01400	SIDP01283
MCC14-1	no available	Skin	Other Solid Cancers	Iliac Node (Groin)	Merkel Cell Carcinoma	CVCL_4447	Homo Sapiens	Male	Unknown	80	SIDM01359	SIDS01398	SIDP01281
Mac-2A	no available	Haematopoietic and Lymphoid	Other Blood Cancers	Skin Tumour Nodules	Anaplastic Large Cell Lymphoma	CVCL_H637	Homo Sapiens	Male	White	47	SIDM01361	SIDS01397	SIDP01280
LN-382	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_3956	Homo Sapiens	Unknown	Unknown	no available	SIDM01365	SIDS01393	SIDP01277
LN-235	no available	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_3957	Homo Sapiens	Male	Unknown	38	SIDM01367	SIDS01391	SIDP01275
Mac-1	no available	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Peripheral Blood	Cutaneous T-Cell Lymphoma	CVCL_H631	Homo Sapiens	Male	White	45	SIDM01369	SIDS01539	SIDP01280
LN-443	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_3960	Homo Sapiens	Unknown	Unknown	no available	SIDM01371	SIDS01395	SIDP01278
MM386	no available	Skin	Melanoma	Lymph Node	Melanoma	CVCL_2607	Homo Sapiens	Unknown	Unknown	no available	SIDM01373	SIDS01404	SIDP01287
PaCaDD-60	no available	Pancreas	Pancreatic Carcinoma	Pleural Effusion	Pancreatic Ductal Adenocarcinoma	CVCL_8782	Homo Sapiens	Male	White	56	SIDM01375	SIDS01422	SIDP01304
OCI-My7	no available	Haematopoietic and Lymphoid	Plasma Cell Myeloma	Unknown	Plasma Cell Myeloma	CVCL_E333	Homo Sapiens	Unknown	Unknown	no available	SIDM01379	SIDS01418	SIDP01300
NP-8	no available	Central Nervous System	Glioblastoma	Brain	Glioblastoma	CVCL_4W66	Homo Sapiens	Female	Unknown	38	SIDM01381	SIDS01416	SIDP01298
NMB	no available	Peripheral Nervous System	Neuroblastoma	Bone Marrow	Neuroblastoma	CVCL_2143	Homo Sapiens	Female	Unknown	0	SIDM01383	SIDS01415	SIDP01297
NCI-H2882	no available	Lung	Squamous Cell Lung Carcinoma	Unknown	Squamous Cell Lung Carcinoma	CVCL_5158	Homo Sapiens	Female	Unknown	no available	SIDM01385	SIDS01412	SIDP01294
COV644	no available	Ovary	Ovarian Carcinoma	Ovary	Ovarian Carcinoma	CVCL_2425	Homo Sapiens	Female	Unknown	no available	SIDM01474	SIDS01291	SIDP01178
COV434	no available	Ovary	Ovarian Carcinoma	Ovary	Ovarian Granulosa Cell Tumor	CVCL_2010	Homo Sapiens	Female	Unknown	no available	SIDM01476	SIDS01289	SIDP01176
COV413A	no available	Ovary	Ovarian Carcinoma	Sigmoid Colon	Ovarian Carcinoma	CVCL_2422	Homo Sapiens	Female	Unknown	no available	SIDM01478	SIDS01287	SIDP01175
UM-UC-14	no available	Bladder	Bladder Carcinoma	Renal Pelvis	Renal Pelvis Carcinoma	CVCL_2747	Homo Sapiens	Unknown	Unknown	no available	SIDM01405	SIDS01508	SIDP01389
UM-UC-11	no available	Bladder	Bladder Carcinoma	Bladder	Bladder Carcinoma	CVCL_2745	Homo Sapiens	Unknown	Unknown	no available	SIDM01407	SIDS01506	SIDP01387
YD-15	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_8930	Homo Sapiens	Male	East Asian	39	SIDM01411	SIDS01520	SIDP01400
UM-Chor1	no available	Bone	Other Solid Cancers	Clivus	Clivus Chordoma	CVCL_1D68	Homo Sapiens	Male	White	64	SIDM01415	SIDS01537	SIDP01414
U-2904	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Pleural Effusion	Centroblastic Lymphoma	CVCL_X504	Homo Sapiens	Male	Unknown	59	SIDM01417	SIDS01535	SIDP01412
PEO14	no available	Ovary	Ovarian Carcinoma	Ascites	Ovarian Serous Adenocarcinoma	CVCL_2687	Homo Sapiens	Unknown	Unknown	no available	SIDM01419	SIDS01533	SIDP01411
SK-MEL-19	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_6025	Homo Sapiens	Male	Unknown	50	SIDM01423	SIDS01529	SIDP01408
PEA2	no available	Ovary	Ovarian Carcinoma	Ascites	Ovarian Cystadenocarcinoma	CVCL_2683	Homo Sapiens	Female	Unknown	no available	SIDM01425	SIDS01527	SIDP01406
MUG-Chor1	no available	Bone	Other Solid Cancers	Sacral Vertebrae	Sacral Chordoma	CVCL_9277	Homo Sapiens	Female	White	57	SIDM01427	SIDS01525	SIDP01405
CII	no available	Haematopoietic and Lymphoid	Other Blood Cancers	Unknown	Chronic Lymphocytic Leukemia	CVCL_0D73	Homo Sapiens	Female	Unknown	47	SIDM01429	SIDS01523	SIDP01403
RD-ES	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_2169	Homo Sapiens	Male	White	19	SIDM01316	SIDS01441	SIDP01322
PK-45H	no available	Pancreas	Pancreatic Carcinoma	Unknown	Pancreatic Carcinoma	CVCL_6748	Homo Sapiens	Unknown	Unknown	no available	SIDM01320	SIDS01437	SIDP01319
SNU-201	NCI-SNU-201	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_5033	Homo Sapiens	Male	Unknown	58	SIDM00158	SIDS00627	SIDP00556
PE-CA-PJ41_Clone-D2	no available	Head and Neck	Oral Cavity Carcinoma	Oral cavity	Oral Cavity Squamous Cell Carcinoma	CVCL_2680	Homo Sapiens	Female	Unknown	67	SIDM01323	SIDS01434	SIDP01316
PE-CA-PJ49	no available	Head and Neck	Oral Cavity Carcinoma	Oral cavity	Oral Cavity Squamous Cell Carcinoma	CVCL_2681	Homo Sapiens	Male	White	57	SIDM01322	SIDS01435	SIDP01317
PLC-PRF-5	no available	Liver	Hepatocellular Carcinoma	Liver	Hepatocellular Carcinoma	CVCL_0485	Homo Sapiens	Male	Unknown	24	SIDM01318	SIDS01439	SIDP01320
DU-145	no available	Prostate	Prostate Carcinoma	Brain	Prostate Carcinoma	CVCL_0105	Homo Sapiens	Male	White	69	SIDM00120	SIDS00817	SIDP00730
K2	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_AT85	Homo Sapiens	Unknown	Unknown	no available	SIDM00126	SIDS00811	SIDP00724
SK-MEL-2	SK-ML2	Skin	Melanoma	Skin	Melanoma	CVCL_0069	Homo Sapiens	Male	White	6	SIDM00082	SIDS00855	SIDP00762
SK-OV-3	SKO3	Ovary	Ovarian Carcinoma	Ascites	Ovarian Serous Cystadenocarcinoma	CVCL_0532	Homo Sapiens	Female	White	64	SIDM00079	SIDS00858	SIDP00765
SLR20	no available	Bladder	Bladder Carcinoma	Urinary Bladder	Bladder Carcinoma	CVCL_V606	Homo Sapiens	Female	White	81	SIDM01341	SIDS00405	SIDP00349
201T	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_X481	Homo Sapiens	Male	Unknown	no available	SIDM00055	SIDS00744	SIDP00668
D-458MED	no available	Central Nervous System	Other Solid Cancers	Unknown	Medulloblastoma	CVCL_1161	Homo Sapiens	Unknown	Unknown	no available	SIDM01493	SIDS01295	SIDP01181
U-178MG	no available	Central Nervous System	Glioma	Brain	Astrocytoma	CVCL_A758	Homo Sapiens	Male	Unknown	56	SIDM01431	SIDS01502	SIDP01383
UM-UC-10	no available	Bladder	Bladder Carcinoma	Bladder	Bladder Carcinoma	CVCL_2744	Homo Sapiens	Unknown	Unknown	no available	SIDM01408	SIDS01505	SIDP01386
PEO23	no available	Ovary	Ovarian Carcinoma	Ascites	Ovarian Serous Adenocarcinoma	CVCL_2689	Homo Sapiens	Unknown	Unknown	no available	SIDM01418	SIDS01534	SIDP01411
TO14	no available	Ovary	Ovarian Carcinoma	Omentum	Ovarian Serous Adenocarcinoma	CVCL_2734	Homo Sapiens	Unknown	Unknown	no available	SIDM01420	SIDS01532	SIDP01411
SUM-52PE	no available	Breast	Breast Carcinoma	Plueral Effusion	Breast Carcinoma	CVCL_3425	Homo Sapiens	Unknown	Unknown	no available	SIDM01422	SIDS01531	SIDP01410
PEA1	no available	Ovary	Ovarian Carcinoma	Pleural Effusion	Ovarian Cystadenocarcinoma	CVCL_2682	Homo Sapiens	Female	Unknown	no available	SIDM01426	SIDS01526	SIDP01406
HB1119	no available	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Unknown	B Acute Lymphoblastic Leukemia	CVCL_8227	Homo Sapiens	Unknown	Unknown	no available	SIDM01428	SIDS01524	SIDP01404
SUM-185PE	no available	Breast	Breast Carcinoma	Plueral Effusion	Breast Carcinoma	CVCL_5591	Homo Sapiens	Unknown	Unknown	no available	SIDM01430	SIDS01530	SIDP01409
SNU-840	no available	Ovary	Ovarian Carcinoma	Ovary	Malignant Ovarian Brenner Tumor	CVCL_5100	Homo Sapiens	Female	Unknown	no available	SIDM01436	SIDS01477	SIDP01358
SNU-739	no available	Liver	Hepatocellular Carcinoma	Liver	Hepatocellular Carcinoma	CVCL_5088	Homo Sapiens	Male	East Asian	52	SIDM01438	SIDS01475	SIDP01356
SUM-159PT	no available	Breast	Breast Carcinoma	Breast	Breast Carcinoma	CVCL_5423	Homo Sapiens	Unknown	Unknown	no available	SIDM01452	SIDS01481	SIDP01362
TTC-642	no available	Soft Tissue	Other Solid Cancers	Unknown	Rhabdoid Tumor	CVCL_8006	Homo Sapiens	Unknown	Unknown	no available	SIDM01456	SIDS01497	SIDP01378
TTC-442	no available	Soft Tissue	Rhabdomyosarcoma	Unknown	Embryonal Rhabdomyosarcoma	CVCL_B255	Homo Sapiens	Unknown	Unknown	no available	SIDM01458	SIDS01495	SIDP01376
TFK-1	no available	Biliary Tract	Biliary Tract Carcinoma	Bile Duct	Cholangiocarcinoma	CVCL_2214	Homo Sapiens	Male	East Asian	63	SIDM01462	SIDS01492	SIDP01373
TC-205	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_4Z31	Homo Sapiens	Unknown	Unknown	no available	SIDM01466	SIDS01487	SIDP01368
TC-106	no available	Bone	Ewing's Sarcoma	Scalp	Ewing's Sarcoma	CVCL_F531	Homo Sapiens	Male	Unknown	19	SIDM01468	SIDS01485	SIDP01366
COG-N-305	no available	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_AX42	Homo Sapiens	Unknown	Unknown	no available	SIDM01484	SIDS01281	SIDP01169
COG-E-352	no available	Bone	Ewing's Sarcoma	Blood	Primitive Neuroectodermal Tumor	CVCL_M153	Homo Sapiens	Male	Unknown	17	SIDM01486	SIDS01279	SIDP01167
COG-AR-359	no available	Soft Tissue	Other Solid Cancers	Brain	Atypical Teratoid/Rhabdoid Tumor	CVCL_RS25	Homo Sapiens	Unknown	Unknown	no available	SIDM01488	SIDS01277	SIDP01166
D-341MED	no available	Central Nervous System	Other Solid Cancers	Unknown	Medulloblastoma	CVCL_0018	Homo Sapiens	Male	Unknown	3	SIDM01492	SIDS01293	SIDP01180
FE-PD	no available	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Peripheral Blood	Anaplastic Large Cell Lymphoma	CVCL_H614	Homo Sapiens	Unknown	Unknown	no available	SIDM01496	SIDS01309	SIDP01194
EW-8	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_V618	Homo Sapiens	Unknown	Unknown	no available	SIDM01500	SIDS01305	SIDP01190
DL-40	no available	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Blood	Anaplastic Large Cell Lymphoma	CVCL_2889	Homo Sapiens	Female	East Asian	64	SIDM01506	SIDS01299	SIDP01184
DERL-7	no available	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Blood	Hepatosplenic T-cell Lymphoma	CVCL_2017	Homo Sapiens	Male	White	30	SIDM01508	SIDS01297	SIDP01182
CJM	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_U797	Homo Sapiens	Unknown	Unknown	no available	SIDM01512	SIDS01274	SIDP01163
BT-12	no available	Soft Tissue	Other Solid Cancers	Unknown	Atypical Teratoid/Rhabdoid Tumor	CVCL_M155	Homo Sapiens	Female	Unknown	0	SIDM01514	SIDS01251	SIDP01142
UACC-62_CJ1	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_A1VN	Homo Sapiens	Unknown	Unknown	no available	SIDM01416	SIDS00869	SIDP00774
SNU-8	no available	Ovary	Ovarian Carcinoma	Ascites	Ovarian Serous Cystadenocarcinoma	CVCL_5096	Homo Sapiens	Female	East Asian	55	SIDM01437	SIDS01476	SIDP01357
SUM-149PT	no available	Breast	Breast Carcinoma	Breast	Invasive Ductal Carcinoma Not Otherwise Specified	CVCL_3422	Homo Sapiens	Unknown	Unknown	no available	SIDM01441	SIDS01480	SIDP01361
SYO-1	no available	Soft Tissue	Other Solid Cancers	Unknown	Synovial Sarcoma	CVCL_7146	Homo Sapiens	Female	Unknown	no available	SIDM01453	SIDS01483	SIDP01364
TTC-709	no available	Soft Tissue	Other Solid Cancers	Unknown	Rhabdoid Tumor	CVCL_8007	Homo Sapiens	Unknown	Unknown	no available	SIDM01455	SIDS01498	SIDP01379
TTC-549	no available	Soft Tissue	Other Solid Cancers	Unknown	Rhabdoid Tumor	CVCL_8005	Homo Sapiens	Unknown	Unknown	no available	SIDM01457	SIDS01496	SIDP01377
TTC-1240	no available	Soft Tissue	Other Solid Cancers	Unknown	Rhabdoid Tumor	CVCL_8002	Homo Sapiens	Unknown	Unknown	no available	SIDM01459	SIDS01494	SIDP01375
SUM-229PE	no available	Breast	Breast Carcinoma	Pleural Effusion	Breast Carcinoma	CVCL_5594	Homo Sapiens	Female	Unknown	no available	SIDM01461	SIDS01482	SIDP01363
TC-32	no available	Central Nervous System	Other Solid Cancers	 Left ilium and adjacent soft tissue	Primitive Neuroectodermal Tumor	CVCL_7151	Homo Sapiens	Female	Unknown	17	SIDM01465	SIDS01488	SIDP01369
TC-138	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_4Z30	Homo Sapiens	Unknown	Unknown	no available	SIDM01467	SIDS01486	SIDP01367
COV413B	no available	Ovary	Ovarian Carcinoma	Bladder Dome	Ovarian Carcinoma	CVCL_2423	Homo Sapiens	Female	Unknown	no available	SIDM01477	SIDS01288	SIDP01175
COV362	no available	Ovary	Ovarian Carcinoma	Pleural Effusion	High Grade Ovarian Serous Adenocarcinoma	CVCL_2420	Homo Sapiens	Female	Unknown	no available	SIDM01479	SIDS01286	SIDP01174
CW9019	no available	Soft Tissue	Rhabdomyosarcoma	Unknown	Alveolar Rhabdomyosarcoma	CVCL_N820	Homo Sapiens	Unknown	Unknown	no available	SIDM01481	SIDS01292	SIDP01179
COG-N-278	no available	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_AX49	Homo Sapiens	Unknown	Unknown	no available	SIDM01485	SIDS01280	SIDP01168
COG-AR-382	no available	Soft Tissue	Other Solid Cancers	Abdomen	Atypical Teratoid/Rhabdoid Tumor	CVCL_RS26	Homo Sapiens	Unknown	Unknown	no available	SIDM01487	SIDS01278	SIDP01166
LUDLU-1	no available	Lung	Squamous Cell Lung Carcinoma	Unknown	Squamous Cell Lung Carcinoma	CVCL_2582	Homo Sapiens	Male	White	72	SIDM01363	SIDS01396	SIDP01279
SNU-1272	no available	Kidney	Kidney Carcinoma	Kidney	Clear Cell Renal Cell Carcinoma	CVCL_8788	Homo Sapiens	Female	East Asian	63	SIDM01335	SIDS01459	SIDP01340
OVMANA	no available	Ovary	Ovarian Carcinoma	Ovary	Ovarian Clear Cell Adenocarcinoma	CVCL_3111	Homo Sapiens	Female	East Asian	51	SIDM01378	SIDS01419	SIDP01301
WM1799	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_A341	Homo Sapiens	Male	Unknown	no available	SIDM01398	SIDS01515	SIDP01396
RMUG-S	no available	Ovary	Ovarian Carcinoma	Ovary	Ovarian Cystadenocarcinoma	CVCL_3158	Homo Sapiens	Female	Unknown	62	SIDM01347	SIDS01447	SIDP01328
SH-10-TC	no available	Stomach	Gastric Carcinoma	Unknown	Gastric Carcinoma	CVCL_5167	Homo Sapiens	Unknown	Unknown	no available	SIDM01343	SIDS01452	SIDP01333
COV504	no available	Ovary	Ovarian Carcinoma	Pleural Effusion	Ovarian Carcinoma	CVCL_2424	Homo Sapiens	Female	Unknown	no available	SIDM01475	SIDS01290	SIDP01177
COLO-684	no available	Endometrium	Endometrial Carcinoma	Unknown	Endometrial Adenocarcinoma	CVCL_1132	Homo Sapiens	Female	Unknown	63	SIDM00142	SIDS00834	SIDP00744
IGROV-1	OV1/P	Ovary	Ovarian Carcinoma	Unknown	Ovarian Endometrioid Adenocarcinoma	CVCL_1304	Homo Sapiens	Female	Unknown	47	SIDM00151	SIDS00825	SIDP00737
KM12	no available	Large Intestine	Colorectal Carcinoma	Unknown	Colon Carcinoma	CVCL_1331	Homo Sapiens	Unknown	Unknown	no available	SIDM00150	SIDS00826	SIDP00738
LB1047-RCC	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1364	Homo Sapiens	Female	Unknown	no available	SIDM00187	SIDS00636	SIDP00565
MOLT-4	GM02219;GM2219C	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Unknown	Adult T Acute Lymphoblastic Leukemia	CVCL_0013	Homo Sapiens	Male	Unknown	19	SIDM00145	SIDS00832	SIDP00742
WERI-RB-1	no available	Eye	Other Solid Cancers	Eye	Retinoblastoma	CVCL_1792	Homo Sapiens	Female	White	1	SIDM01414	SIDS01538	SIDP01415
HCC-2450	no available	Lung	Squamous Cell Lung Carcinoma	Lung	Squamous Cell Lung Carcinoma	CVCL_5133	Homo Sapiens	Male	White	52	SIDM01600	SIDS01322	SIDP01207
HCC2279	no available	Lung	Other Solid Cancers	Unknown	Adenosquamous Lung Carcinoma	CVCL_5131	Homo Sapiens	Female	Unknown	52	SIDM01602	SIDS01320	SIDP01205
HCC1833	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_5129	Homo Sapiens	Unknown	Unknown	no available	SIDM01604	SIDS01318	SIDP01203
HCC1359	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Giant Cell Lung Carcinoma	CVCL_5128	Homo Sapiens	Female	Unknown	55	SIDM01606	SIDS01316	SIDP01201
CME-1	no available	Soft Tissue	Other Solid Cancers	Unknown	Monophasic Synovial Sarcoma	CVCL_N586	Homo Sapiens	Unknown	Unknown	no available	SIDM01489	SIDS01276	SIDP01165
F5	no available	Central Nervous System	Other Solid Cancers	Unknown	Meningioma	CVCL_V616	Homo Sapiens	Unknown	Unknown	no available	SIDM01497	SIDS01308	SIDP01193
EWS-502	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_S740	Homo Sapiens	Unknown	Unknown	no available	SIDM01499	SIDS01306	SIDP01191
D-425MED	no available	Central Nervous System	Other Solid Cancers	Unknown	Medulloblastoma	CVCL_1275	Homo Sapiens	Unknown	Unknown	no available	SIDM01501	SIDS01294	SIDP01181
DM-3	no available	Lung	Mesothelioma	Pleura	Pleural Sarcomatoid Mesothelioma	CVCL_2019	Homo Sapiens	Male	Unknown	62	SIDM01505	SIDS01300	SIDP01185
DL	no available	Soft Tissue	Rhabdomyosarcoma	Unknown	Extrarenal Rhabdoid Tumor	CVCL_U760	Homo Sapiens	Unknown	Unknown	no available	SIDM01507	SIDS01298	SIDP01183
DERL-2	no available	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Blood	Hepatosplenic T-cell Lymphoma	CVCL_2016	Homo Sapiens	Male	White	30	SIDM01509	SIDS01296	SIDP01182
CHLA-99	no available	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_0B50	Homo Sapiens	Unknown	Unknown	no available	SIDM01513	SIDS01272	SIDP01161
BLUE-1	no available	Haematopoietic and Lymphoid	Burkitt's Lymphoma	Bone Marrow	Burkitt's Lymphoma	CVCL_1967	Homo Sapiens	Male	White	29	SIDM01515	SIDS01250	SIDP01141
BT-16	no available	Soft Tissue	Other Solid Cancers	Unknown	Atypical Teratoid/Rhabdoid Tumor	CVCL_M156	Homo Sapiens	Male	Unknown	2	SIDM01521	SIDS01252	SIDP01143
BC-3C	no available	Bladder	Bladder Carcinoma	Bladder	Bladder Carcinoma	CVCL_1958	Homo Sapiens	Female	White	82	SIDM01523	SIDS01242	SIDP01133
A-1207	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_8481	Homo Sapiens	Female	Unknown	no available	SIDM01527	SIDS01238	SIDP01129
C75	no available	Large Intestine	Colorectal Carcinoma	Colon	Colon Adenocarcinoma	CVCL_5248	Homo Sapiens	Male	Unknown	56	SIDM01533	SIDS01255	SIDP01146
CHLA-57	no available	Bone	Other Solid Cancers	Unknown	Melanotic Neuroectodermal Tumor	CVCL_0B49	Homo Sapiens	Unknown	Unknown	no available	SIDM01535	SIDS01270	SIDP01160
CHLA-266	no available	Soft Tissue	Other Solid Cancers	Unknown	Atypical Teratoid/Rhabdoid Tumor	CVCL_M149	Homo Sapiens	Female	White	2	SIDM01537	SIDS01268	SIDP01158
CHLA-20	no available	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_6602	Homo Sapiens	Female	Unknown	2	SIDM01539	SIDS01266	SIDP01156
C125-PM	no available	Large Intestine	Colorectal Carcinoma	Unknown	Colorectal Adenocarcinoma	CVCL_8175	Homo Sapiens	Unknown	Unknown	no available	SIDM01541	SIDS01254	SIDP01145
BIN-67	no available	Ovary	Ovarian Carcinoma	Pelvic Nodule	Ovarian Small Cell Carcinoma, Hypercalcemic Type	CVCL_S987	Homo Sapiens	Female	Unknown	no available	SIDM01516	SIDS01249	SIDP01140
ANGM-CSS	no available	Central Nervous System	Glioblastoma	Temporo-Occipital Lobe	Glioblastoma	CVCL_2297	Homo Sapiens	Male	Unknown	65	SIDM01524	SIDS01241	SIDP01132
59M	no available	Ovary	Ovarian Carcinoma	Ascites	High Grade Ovarian Serous Adenocarcinoma	CVCL_2291	Homo Sapiens	Female	Unknown	no available	SIDM01528	SIDS01237	SIDP01128
BCP-1	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Peripheral Blood	Primary Effusion Lymphoma	CVCL_0107	Homo Sapiens	Male	Unknown	92	SIDM01530	SIDS01243	SIDP01134
C10	no available	Large Intestine	Colorectal Carcinoma	Colon	Colon Adenocarcinoma	CVCL_5245	Homo Sapiens	Male	Unknown	71	SIDM01532	SIDS01253	SIDP01144
CHLA-9	no available	Bone	Ewing's Sarcoma	Thoracic Mass	Primitive Neuroectodermal Tumor	CVCL_M150	Homo Sapiens	Female	White	14	SIDM01534	SIDS01271	SIDP01155
CHLA-32	no available	Bone	Other Solid Cancers	Unknown	Primitive Neuroectodermal Tumor	CVCL_M151	Homo Sapiens	Female	Unknown	8	SIDM01536	SIDS01269	SIDP01159
CHLA-218	no available	Bone	Other Solid Cancers	Unknown	Primitive Neuroectodermal Tumor	CVCL_0B48	Homo Sapiens	Unknown	Unknown	no available	SIDM01538	SIDS01267	SIDP01157
CHLA-15	no available	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_6594	Homo Sapiens	Female	Unknown	1	SIDM01540	SIDS01265	SIDP01156
CHLA-10	no available	Bone	Ewing's Sarcoma	Thoracic Lymph Node	Primitive Neuroectodermal Tumor	CVCL_6583	Homo Sapiens	Female	White	14	SIDM01542	SIDS01264	SIDP01155
AGPN	no available	Bone	Ewing's Sarcoma	Unknown	Primitive Neuroectodermal Tumor	CVCL_X981	Homo Sapiens	Unknown	Unknown	no available	SIDM01544	SIDS01261	SIDP01152
C84	no available	Large Intestine	Colorectal Carcinoma	Caecum	Cecum Adenocarcinoma	CVCL_5250	Homo Sapiens	Male	Unknown	67	SIDM01548	SIDS01257	SIDP01148
CHLA-06-ATRT	no available	Soft Tissue	Other Solid Cancers	Brain	Atypical Teratoid/Rhabdoid Tumor	CVCL_AQ42	Homo Sapiens	Female	Unknown	0	SIDM01550	SIDS01263	SIDP01154
Mac-2B	no available	Haematopoietic and Lymphoid	Other Blood Cancers	Skin Tumour Nodules	Anaplastic Large Cell Lymphoma	CVCL_H638	Homo Sapiens	Male	White	47	SIDM01552	SIDS01540	SIDP01280
