cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
RH-41	Rh41	CVCL_2176	no available	Homo Sapiens	Soft Tissue	Liver; Lung	7Y	Children	Female	Caucasian	Alveolar rhabdomyosarcoma	no available	cell	RH-41; SJ-RH41; RH41	curated
RS-5	RS-5	CVCL_2182	no available	Homo Sapiens	Lung	no available	78Y	Elderly	Male	no available	Pleural sarcomatoid mesothelioma	no available	cell	RS5	curated
SCLC-22H	SCLC-22H	CVCL_2186	no available	Homo Sapiens	Lung	Pericardial effusion; Pleural effusion	46Y	Adult	Male	Caucasian	Small cell lung carcinoma	no available	cell	SCLC22H	curated
Set2	SET-2	CVCL_2187	SET-2 cell	Homo Sapiens	Blood	Peripheral blood	71Y	Elderly	Female	Japanese	Adult acute megakaryoblastic leukemia	no available	cell	SET-2; SET2	curated
SHI-1	SHI-1	CVCL_2191	SHI-1 cell	Homo Sapiens	Bone Marrow	Bone marrow	37Y	Adult	Male	Chinese	Acute monocytic leukemia	no available	cell	SHI-1; SHI1	curated
SISO	SiSo	CVCL_2193	no available	Homo Sapiens	Cervix	Cervix	67Y	Elderly	Female	Japanese	Human papillomavirus-related cervical adenocarcinoma	no available	cell	SISO	curated
SK-GT-2	SK-GT-2	CVCL_2194	no available	Homo Sapiens	Stomach	Fundus; Gastric fundus; Stomach	72Y	Elderly	Male	Hispanic	Gastric fundus carcinoma	no available	cell	SKGT2	curated
SK-GT-4	SK-GT-4	CVCL_2195	no available	Homo Sapiens	Esophagus	Distal	89Y	Elderly	Male	Caucasian	Esophageal adenocarcinoma	no available	cell	SK4; SKGT4	curated
SKNO-1	SKNO-1	CVCL_2196	no available	Homo Sapiens	Bone Marrow	Bone marrow	22Y	Adult	Male	Japanese	Acute myeloid leukemia with maturation	no available	cell	SKNO-1; SKNO1	curated
SU-DHL-6	SU-DHL-6	CVCL_2206	no available	Homo Sapiens	Haematopoietic and Lymphoid	Peritoneal effusion	43Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	no available	cell	STANFORD UNIVERSITY-DIFFUSE HISTIOCYTIC LYMPHOMA-6; SUDHL6; DHL6; DHL-6; SU-DHL6; SUDHL-6; SUD6	curated
SU-DHL-8	SU-DHL-8	CVCL_2207	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	59Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	no available	cell	SUDHL 8; STANFORD UNIVERSITY-DIFFUSE HISTIOCYTIC LYMPHOMA-8; SUDHL-8; DHL8; DHL-8; SUDHL8	curated
SUP-HD1	SUP-HD1	CVCL_2208	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	37Y	Adult	Male	Caucasian	Hodgkins lymphoma	no available	cell	SUPHD1; SUP-HD1; SUP-HD-1	curated
SUP-M2	SUP-M2	CVCL_2209	SUP-M2 cell	Homo Sapiens	Haematopoietic and Lymphoid	Cerebrospinal fluid	5Y	Children	Female	Caucasian	Alk-positive anaplastic large cell lymphoma	no available	cell	SUP-M2; SUPM2	curated
SUP-T11	SUP-T11	CVCL_2210	no available	Homo Sapiens	Bone Marrow	Bone marrow	74Y	Elderly	Male	Caucasian	Adult t acute lymphoblastic leukemia	T cell	cell	STANFORD UNIVERSITY PEDIATRIC T-CELL LINE 11; SUPT11; SUPT-11	curated
TC-71	TC-71	CVCL_2213	TC-71 cell	Homo Sapiens	Bone	Humerus	22Y	Adult	Male	Caucasian	Ewing sarcoma	no available	cell	GM11654; TC71	curated
TFK-1	TFK-1	CVCL_2214	no available	Homo Sapiens	Biliary Tract	Extrahepatic bile duct	63Y	Adult	Male	Japanese	Cholangiocarcinoma	no available	cell	TFK1	curated
TT2609-C02	TT2609-C02	CVCL_2218	no available	Homo Sapiens	Thyroid	Thyroid gland	57Y	Adult	Male	Caucasian	Thyroid gland follicular carcinoma	no available	cell	TT2609-CO2; TT2609C02	curated
U-HO1	U-HO1	CVCL_2220	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	23Y	Adult	Male	no available	Hodgkins lymphoma	no available	cell	U-H01; UHO1	curated
UPCI-SCC-026	UPCI-SCC-026	CVCL_2221	no available	Homo Sapiens	Mouth	Alveolar ridge	82Y	Elderly	Female	Caucasian	Alveolar ridge squamous cell carcinoma	no available	cell	SCC026; UPCI:SCC026; UPCISCC026	curated
UPCI-SCC-040	UPCI-SCC-040	CVCL_2222	no available	Homo Sapiens	Mouth	Tongue	50Y	Adult	Male	Caucasian	Tongue squamous cell carcinoma	no available	cell	UPCI:SCC040; SCC040; UPCISCC040	curated
UPCI-SCC-074	UPCI-SCC-074	CVCL_2224	no available	Homo Sapiens	Alveolar Ridge	Alveolar ridge	51Y	Adult	Female	Indian	Alveolar ridge squamous cell carcinoma	no available	cell	SCC074; UPCI:SCC074; UPCISCC074	curated
UPCI-SCC-111	UPCI-SCC-111	CVCL_2226	no available	Homo Sapiens	Mouth	Floor of mouth	69Y	Elderly	Female	Caucasian	Floor of mouth squamous cell carcinoma	no available	cell	SCC-111; SCC111; UPCI:SCC111	curated
UPCI-SCC-116	UPCI-SCC-116	CVCL_2228	no available	Homo Sapiens	Alveolar Ridge	Alveolar ridge	57Y	Adult	Male	Caucasian	Alveolar ridge squamous cell carcinoma	no available	cell	UPCISCC116; SCC116; UPCI:SCC116	curated
UPCI-SCC-131	UPCI-SCC-131	CVCL_2229	no available	Homo Sapiens	Mouth	Floor of mouth	73Y	Elderly	Male	Caucasian	Floor of mouth squamous cell carcinoma	no available	cell	SCC131; UPCI:SCC131; UPCISCC131	curated
UPCI-SCC-154	UPCI-SCC-154	CVCL_2230	no available	Homo Sapiens	Mouth	Tongue	54Y	Adult	Male	Caucasian	Tongue squamous cell carcinoma	no available	cell	UPCISCC154; SCC154; UPCI:SCC154	curated
UPCI-SCC-200	UPCI-SCC-200	CVCL_2232	no available	Homo Sapiens	Mouth	Mouth	74Y	Elderly	Male	Caucasian	Oral cavity squamous cell carcinomay carcinoma	no available	cell	UPCI:SCC200; SCC200	curated
UT-7	UT-7	CVCL_2233	UT-7 cell	Homo Sapiens	Bone Marrow	Bone marrow	64Y	Adult	Male	Japanese	Adult acute megakaryoblastic leukemia	no available	cell	UT7	curated
VCaP	VCaP	CVCL_2235	VCaP cell	Homo Sapiens	Prostate	Bone; Vertebral bone; Vertebra	59Y	Adult	Male	Caucasian	Prostate carcinoma	no available	cell	NAN; VCAP; VERTEBRAL CANCER OF THE PROSTATE	curated
C-4-I	C-4-I	CVCL_2253	C-4-I cell	Homo Sapiens	Cervix	Uterus	41Y	Adult	Female	Caucasian	Human papillomavirus-related squamous cell carcinoma	no available	cell	HS 636 T; C-4 I; C-4I; C4-1; C41; C-4I CELL; HS 636.T; C4I CELL; C4I; C-4 I CELL; C4-1 CELL; C4 I; C-4-I; C41 CELL; C4-I	curated
HLF-a	HLF-a	CVCL_2255	no available	Homo Sapiens	Lung	Lung	54Y	Adult	Female	African American	Squamous cell lung carcinoma	fibroblast of lung	cell	HLFA	curated
143B	143B	CVCL_2270	143-B cell	Homo Sapiens	Bone	Right femur; Bone	13Y	Juvenile	Female	Caucasian	Osteosarcoma	no available	cell	143BTK-; GM05887; 143 B; GM05887A; 143B; 143B.TK-; HOS-143B; 143BTK CELL; 143B TK-; 143 B CELL; 143B CELL; 143TK-	curated
59M	59M	CVCL_2291	no available	Homo Sapiens	Ovary	Ascites	65Y	Elderly	Female	Caucasian	High grade ovarian serous adenocarcinoma	no available	cell	OAW59M; OAW 59M; 59 M	curated
ANGM-CSS	ANGM-CSS	CVCL_2297	no available	Homo Sapiens	Brain	Temporo-occipital lobe	65Y	Elderly	Male	no available	Glioblastoma	no available	cell	ANGMCSS	curated
BICR10	BICR 10	CVCL_2307	no available	Homo Sapiens	Mouth	Buccal mucosa	no available	no available	Female	Caucasian	Buccal mucosa squamous cell carcinoma	no available	cell	BICR-10 R; BICR10; BICR-10; BEATSON INSTITUTE FOR CANCER RESEARCH 10	curated
BICR16	BICR 16	CVCL_2308	no available	Homo Sapiens	Mouth	Tongue	no available	no available	Male	Caucasian	Tongue squamous cell carcinoma	no available	cell	BICR-16 R; BEATSON INSTITUTE FOR CANCER RESEARCH 16; BICR-16; BICR16	curated
BICR18	BICR 18	CVCL_2309	no available	Homo Sapiens	Head and Neck	Lymph node	no available	no available	no available	Caucasian	Laryngeal squamous cell carcinoma	no available	cell	BICR-18; BICR-18 R; BICR18; BICR_18; BEATSON INSTITUTE FOR CANCER RESEARCH 18	curated
BICR22	BICR 22	CVCL_2310	no available	Homo Sapiens	Head and Neck	Lymph node	88Y	Elderly	Male	Caucasian	Tongue squamous cell carcinoma	no available	cell	BICR22; BEATSON INSTITUTE FOR CANCER RESEARCH 22; BICR-22; BICR-22 M	curated
BICR31	BICR 31	CVCL_2312	no available	Homo Sapiens	Mouth	Tongue	no available	no available	Male	Caucasian	Tongue squamous cell carcinoma	no available	cell	BICR-31; BICR31; BEATSON INSTITUTE FOR CANCER RESEARCH 31	curated
BICR56	BICR 56	CVCL_2313	no available	Homo Sapiens	Mouth	Tongue	no available	no available	Female	Caucasian	Tongue squamous cell carcinoma	no available	cell	BICR-56; BEATSON INSTITUTE FOR CANCER RESEARCH 56; BICR56	curated
BICR6	BICR 6	CVCL_2314	no available	Homo Sapiens	Head and Neck	Hypopharynx; Pharynx	no available	no available	Male	Caucasian	Hypopharyngeal squamous cell carcinoma	no available	cell	BEATSON INSTITUTE FOR CANCER RESEARCH 6; BICR-6; BICR6	curated
BICR78	BICR 78	CVCL_2315	no available	Homo Sapiens	Alveolar Ridge	Alveolar ridge	no available	no available	Male	Caucasian	Alveolar ridge squamous cell carcinoma	no available	cell	BEATSON INSTITUTE FOR CANCER RESEARCH 78; BICR78; BICR-78	curated
BT-483	BT-483	CVCL_2319	BT-483 cell	Homo Sapiens	Breast	Mammary gland	23Y	Adult	Female	Caucasian	Invasive breast carcinoma	no available	cell	BT483; BT483 CELL	curated
COLO-738	COLO 738	CVCL_2407	no available	Homo Sapiens	Soft Tissue	no available	no available	no available	Female	no available	Melanoma	no available	cell	COLO 738; COLO-738; COLORADO 738; MFHL-2	curated
COR-L24	COR-L24	CVCL_2409	no available	Homo Sapiens	Lung	Lymph node	71Y	Elderly	Male	Caucasian	Small cell lung carcinoma	no available	cell	COR L24; CORL24	curated
COR-L303	COR-L303	CVCL_2411	no available	Homo Sapiens	Lung	Lung	no available	no available	Female	Caucasian	Small cell lung carcinoma	no available	cell	COR L303; CORL303	curated
COR-L311	COR-L311	CVCL_2412	no available	Homo Sapiens	Lung	Lung	63Y	Adult	Male	Caucasian	Small cell lung carcinoma	no available	cell	CORL311	curated
COR-L32	COR-L32	CVCL_2413	no available	Homo Sapiens	Lung	Bone marrow	no available	no available	no available	Caucasian	Squamous cell lung carcinoma	no available	cell	CORL32; COR L32	curated
COR-L321	COR-L321	CVCL_2414	no available	Homo Sapiens	Lung	no available	58Y	Adult	Female	Caucasian	Lung carcinoma	no available	cell	CORL321	curated
COR-L47	COR-L47	CVCL_2415	no available	Homo Sapiens	Lung	Bone marrow	67Y	Elderly	Male	Caucasian	Small cell lung carcinoma	no available	cell	COR L47; CORL47	curated
COR-L51	COR-L51	CVCL_2416	no available	Homo Sapiens	Lung	Pleural effusion	71Y	Elderly	Male	Caucasian	Small cell lung carcinoma	no available	cell	CORL51; COR L51	curated
COR-L95	COR-L95	CVCL_2418	no available	Homo Sapiens	Lung	Bronchus	64Y	Adult	Male	Caucasian	Small cell lung carcinoma	no available	cell	CORL95	curated
COV318	COV318	CVCL_2419	no available	Homo Sapiens	Ovary	Ascites	no available	no available	Female	Caucasian	High grade ovarian serous adenocarcinoma	no available	cell	COV-318; COV318	curated
COV362	COV362	CVCL_2420	no available	Homo Sapiens	Ovary	Pleural effusion	no available	no available	Female	Caucasian	High grade ovarian serous adenocarcinoma	no available	cell	COV-362; COV362	curated
COV362-4	COV362.4	CVCL_2421	no available	Homo Sapiens	Ovary	Pleural effusion	no available	no available	Female	Caucasian	High grade ovarian serous adenocarcinoma	no available	cell	COV362-4; COV-362.4	curated
COV413A	COV413A	CVCL_2422	no available	Homo Sapiens	Ovary	Sigmoid colon; Sigmoid; Colon	no available	no available	Female	no available	Ovarian carcinoma	no available	cell	COV 413A	curated
COV413B	COV413B	CVCL_2423	no available	Homo Sapiens	Ovary	Bladder dome; Urinary bladder	no available	no available	Female	no available	Ovarian carcinoma	no available	cell	COV413B	curated
COV504	COV504	CVCL_2424	no available	Homo Sapiens	Ovary	Pleural effusion	no available	no available	Female	Caucasian	Ovarian carcinoma	no available	cell	COV504; COV 504	curated
COV644	COV644	CVCL_2425	no available	Homo Sapiens	Ovary	Ovary	no available	no available	Female	Caucasian	Ovarian mucinous adenocarcinoma	no available	cell	COV-644	curated
DMS-454	DMS 454	CVCL_2438	no available	Homo Sapiens	Lung	Lung	no available	no available	Male	Caucasian	Small cell lung carcinoma	no available	cell	DMS-454; DARMOUTH MEDICAL SCHOOL 454; DMS454	curated
FTC-236	FTC-236	CVCL_2446	FTC-236 cell	Homo Sapiens	Thyroid	Cervical lymph node	42Y	Adult	Male	Caucasian	Thyroid gland follicular carcinoma	no available	cell	FTC236; FTC236 CELL	curated
FTC-238	FTC-238	CVCL_2447	no available	Homo Sapiens	Thyroid	Lung	42Y	Adult	Male	Caucasian	Thyroid gland follicular carcinoma	no available	cell	FTC238	curated
GP2d	GP2d	CVCL_2450	no available	Homo Sapiens	Colon	Colon	71Y	Elderly	Female	Caucasian	Colon adenocarcinoma	no available	cell	GP2D	curated
GR-M	GR-M	CVCL_2451	no available	Homo Sapiens	Pancreas	Pancreas	36Y	no available	Male	Japanese	Pancreatic adenocarcinoma	no available	cell	GRM	curated
H103	H103	CVCL_2457	no available	Homo Sapiens	Mouth	Tongue	32Y	Adult	Male	no available	Tongue squamous cell carcinoma	no available	cell	H103	curated
H357	H357	CVCL_2462	no available	Homo Sapiens	Mouth	Tongue	74Y	Elderly	Male	no available	Tongue squamous cell carcinoma	no available	cell	H357	curated
H376	H376	CVCL_2463	no available	Homo Sapiens	Mouth	Floor of mouth	40Y	Adult	Female	no available	Floor of mouth squamous cell carcinoma	no available	cell	H376	curated
H413	H413	CVCL_2465	no available	Homo Sapiens	mouth	Buccal mucosa	53Y	Adult	Female	no available	Buccal mucosa squamous cell carcinoma	no available	cell	H413	curated
HCT-8	HCT 8	CVCL_2478	HCT-8 cell	Homo Sapiens	Colon	Colon	67Y	Elderly	Male	Caucasian	Colon adenocarcinoma	colon epithelial cell	cell	HCT8; HCT-8; HCT8 CELL	curated
HEL-92-1-7	HEL 92.1.7	CVCL_2481	HEL-92.1.7 cell	Homo Sapiens	Blood	Peripheral blood; Bone marrow	30Y	Adult	Male	Caucasian	Erythroleukemia	no available	cell	HEL-92-1-7; HEL-92; HEL9217 CELL; HEL9217; HEL 92.1.7 CELL; HEL (TIB-180) CELL; HEL.92.1.7 CELL; HEL92.1.7; HEL TIB 180 CELL; HEL92.1.7 CELL; HEL-92.1.7; HEL-92_1_7	curated
HRT-18	HRT-18	CVCL_2514	HRT-18 cell	Homo Sapiens	Colon	Colon	67Y	Elderly	Male	Caucasian	Colon adenocarcinoma	colon epithelial cell	cell	HRT18; HUMAN RECTAL TUMOR-18	curated
HT-115	HT115	CVCL_2520	HT-115 cell	Homo Sapiens	Colon	Colon	no available	no available	no available	Caucasian	Colon carcinoma	no available	cell	HT 115; HT-115; HT 115 CELL; HT115 CELL	curated
HTK-	HTK-	CVCL_2522	no available	Homo Sapiens	Bone	Right femur	13Y	Juvenile	Female	Caucasian	Osteosarcoma	no available	cell	HTK-	curated
HuNS1	HuNS1	CVCL_2526	no available	Homo Sapiens	Blood	Peripheral blood	no available	no available	Male	Caucasian	Plasma cell myeloma	no available	cell	HUNS1	curated
Ishikawa	Ishikawa	CVCL_2529	Ishikawa cell	Homo Sapiens	Endometrium	Endometrium	39Y	Adult	Female	Japanese	Endometrial adenocarcinoma	no available	cell	ISHI CELL; ISHIKAWA; ISHIKAWA CELL; ISHI	curated
KARPAS-1718	Karpas-1718	CVCL_2539	no available	Homo Sapiens	Blood	Peripheral blood	no available	no available	Male	no available	Splenic marginal zone lymphoma	no available	cell	K1718; KARPAS 1718; KARPAS-1718	curated
KARPAS-384	Karpas-384	CVCL_2541	no available	Homo Sapiens	Blood	Peripheral blood	48Y	Adult	Male	no available	Primary cutaneous t-cell non-hodgkin lymphoma	T cell	cell	KARPAS384; KARPAS 384	curated
LIM1215	LIM1215	CVCL_2574	LIM1215 cell	Homo Sapiens	Large Intestine	Omentum	34Y	Adult	no available	Caucasian	Colorectal carcinoma	no available	cell	LIM 1215; LIM1215; LIM-1215; LIM 1215 CELL	curated
LO68	LO68	CVCL_2581	no available	Homo Sapiens	Lung	Pleural effusion	57Y	Adult	Male	no available	Pleural epithelioid mesothelioma	no available	cell	LO68	curated
LUDLU-1	LUDLU-1	CVCL_2582	no available	Homo Sapiens	Lung	no available	72Y	Elderly	Male	Caucasian	Squamous cell lung carcinoma	no available	cell	LUDLU1; LUDLU-1; LUDLU 1	curated
MCC13	MCC13	CVCL_2583	no available	Homo Sapiens	Skin	Cervical lymph node	80Y	Elderly	Female	Caucasian	Merkel cell carcinoma	no available	cell	MCC13TC; MCC13 TC	curated
MCC14-2	MCC14/2	CVCL_2584	no available	Homo Sapiens	Skin	Iliac lymph node; Iliac node (groin)	80Y	Elderly	Male	no available	Merkel cell carcinoma	no available	cell	MCC14-2; MCC142; MCC14/2 TC; MCC14/2TC	curated
MCC26	MCC26	CVCL_2585	no available	Homo Sapiens	Skin	no available	82Y	Elderly	no available	Caucasian	Merkel cell carcinoma	no available	cell	NAN; MCC26TC; MCC26 TC	curated
MDST8	MDST8	CVCL_2588	no available	Homo Sapiens	Colon	Colon	no available	no available	no available	Caucasian	Colon carcinoma	no available	cell	T8	curated
Mero-14	Mero-14	CVCL_2590	no available	Homo Sapiens	Lung	Pleural effusion	>60Y	no available	Male	no available	Pleural epithelioid mesothelioma	no available	cell	MERO14	curated
Mero-25	Mero-25	CVCL_2591	no available	Homo Sapiens	Lung	Lung; Pleural cavity; Pleura	>60Y	no available	Male	no available	Pleural biphasic mesothelioma	no available	cell	MERO25	curated
Mero-41	Mero-41	CVCL_2592	no available	Homo Sapiens	Lung	Pleural effusion	>60Y	no available	Male	no available	Pleural epithelioid mesothelioma	no available	cell	MERO41	curated
Mero-48a	Mero-48a	CVCL_2593	no available	Homo Sapiens	Lung	Pleural effusion; Pleural cavity	no available	no available	Male	no available	Pleural biphasic mesothelioma	no available	cell	MERO48A	curated
Mero-82	Mero-82	CVCL_2594	no available	Homo Sapiens	Lung	Pleural effusion	no available	no available	no available	no available	Pleural epithelioid mesothelioma	no available	cell	MERO82	curated
Mero-83	Mero-83	CVCL_2595	no available	Homo Sapiens	Lung	Pleural effusion	no available	no available	Male	no available	Pleural biphasic mesothelioma	no available	cell	MERO83	curated
Mero-84	Mero-84	CVCL_2596	no available	Homo Sapiens	Lung	Pleural effusion	no available	no available	Male	no available	Pleural biphasic mesothelioma	no available	cell	MERO84	curated
Mero-95	Mero-95	CVCL_2597	no available	Homo Sapiens	Lung	Pleural effusion	no available	no available	Male	no available	Pleural epithelioid mesothelioma	no available	cell	MERO95	curated
MES-SA-Dx-5	MES-SA/Dx5	CVCL_2598	no available	Homo Sapiens	Uterus	Uterus	56Y	Adult	Female	Caucasian	Uterine corpus sarcoma	no available	cell	DX5; MESSA DX5; MESSADX5; MESSA-DX5; MES-SA DX5; MESSA/DX5; MES-SA/DX-5; MES-SA-DX5	curated
MES-SA-MX2	MES-SA/MX2	CVCL_2599	no available	Homo Sapiens	Uterus	Uterus	56Y	Adult	Female	Caucasian	Uterine corpus sarcoma	no available	cell	MESSA/MX2; MESSAMX2; MES-SA/MX2; MES-SA-MX2	curated
MKL-1	MKL-1	CVCL_2600	no available	Homo Sapiens	Skin	Lymph node; Left axillary lymph node	26Y	Adult	Male	Caucasian	Merkel cell carcinoma	no available	cell	MKL1; MKL-1	curated
MM127	MM127	CVCL_2601	no available	Homo Sapiens	Skin	Hypodermis	no available	no available	Male	no available	Amelanotic melanoma	no available	cell	MM-127	curated
MM253	MM253	CVCL_2604	no available	Homo Sapiens	Skin	Lymph node	46Y	Adult	no available	no available	Amelanotic melanoma	no available	cell	MM 253	curated
MM370	MM370	CVCL_2605	no available	Homo Sapiens	Skin	Lymph node	no available	no available	no available	no available	Melanoma	no available	cell	MM 370	curated
MM383	MM383	CVCL_2606	no available	Homo Sapiens	Skin	Lymph node	no available	no available	no available	no available	Melanoma	no available	cell	MM 383	curated
MM386	MM386	CVCL_2607	no available	Homo Sapiens	Skin	Lymph node	no available	no available	no available	no available	Melanoma	no available	cell	MM 386	curated
MM415	MM415	CVCL_2608	no available	Homo Sapiens	Skin	Lymph node	no available	no available	no available	no available	Melanoma	no available	cell	MM 415	curated
MM426	MM426	CVCL_2609	no available	Homo Sapiens	Skin	Lymph node; Cervical lymph node	no available	no available	no available	no available	Melanoma	no available	cell	MM 426	curated
MM485	MM485	CVCL_2610	no available	Homo Sapiens	Skin	Lymph node	no available	no available	Male	no available	Amelanotic melanoma	no available	cell	MM 485	curated
MOG-G-CCM	MOG-G-CCM	CVCL_2613	no available	Homo Sapiens	Brain	Brain	no available	no available	no available	Caucasian	Anaplastic astrocytoma	no available	cell	GO-G-CCM; CCM; MOGGCCM; G-CCM; MEDICAL ONCOLOGY GLASCOW-GLIOMA-CCM	curated
MOG-G-UVW	MOG-G-UVW	CVCL_2614	no available	Homo Sapiens	Brain	Brain	no available	no available	Male	Caucasian	Anaplastic astrocytoma	no available	cell	MEDICAL ONCOLOGY GLASCOW-GLIOMA-UVW; MOG-GUVW; G-UVW; UVW; MOGGUVW; GO-G-UVW	curated
MOR	MOR	CVCL_2618	no available	Homo Sapiens	Lung	Lung	no available	no available	no available	Caucasian	Lung adenocarcinoma	no available	cell	MOR/P	curated
MOR-CPR	MOR/CPR	CVCL_2620	no available	Homo Sapiens	Lung	Lung	no available	no available	no available	Caucasian	Lung adenocarcinoma	no available	cell	MORCPR; MOR-CPR	curated
NCI-BL1184	NCI-BL1184	CVCL_2635	no available	Homo Sapiens	Blood	Peripheral blood	42Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	NCI-BL5; BL5; BL1184	curated
NCI-BL128	NCI-BL128	CVCL_2636	no available	Homo Sapiens	Blood	Peripheral blood	60Y	Adult	Male	African American	Non-cancerous	B cell	cell	NCI-H128BL; BL128; H128BL	curated
NCI-BL1339	NCI-BL1339	CVCL_2637	no available	Homo Sapiens	Blood	Peripheral blood	49Y	Adult	Female	White	Non-cancerous	B cell	cell	BL6; BL1339; NCI-BL6	curated
NCI-BL1395	NCI-BL1395	CVCL_2638	no available	Homo Sapiens	Blood	Peripheral blood	55Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	BL1395	curated
NCI-BL1437	NCI-BL1437	CVCL_2639	no available	Homo Sapiens	Blood	Peripheral blood	60Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	BL1437	curated
NCI-BL1770	NCI-BL1770	CVCL_2644	no available	Homo Sapiens	Blood	Peripheral blood	57Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	BL1770	curated
NCI-BL2009	NCI-BL2009	CVCL_2645	no available	Homo Sapiens	Blood	Peripheral blood	68Y	Elderly	Female	Caucasian	Non-cancerous	B cell	cell	BL2009	curated
NCI-BL2052	NCI-BL2052	CVCL_2647	no available	Homo Sapiens	Blood	Peripheral blood	65Y	Elderly	Male	Caucasian	Non-cancerous	B cell	cell	BL2052	curated
NCI-BL2087	NCI-BL2087	CVCL_2648	no available	Homo Sapiens	Blood	Peripheral blood	69Y	Elderly	Male	Caucasian	Non-cancerous	B cell	cell	BL2087	curated
NCI-BL209	NCI-BL209	CVCL_2649	no available	Homo Sapiens	Blood	Peripheral blood	55Y	Adult	Male	Caucasian	Non-cancerous	B cell	cell	NCI-H209BL; BL209; H209BL	curated
NCI-BL2122	NCI-BL2122	CVCL_2651	no available	Homo Sapiens	Blood	Peripheral blood	46Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	BL2122	curated
NCI-BL2126	NCI-BL2126	CVCL_2652	no available	Homo Sapiens	Blood	Peripheral blood; Pleural effusion	65Y	Elderly	Male	Caucasian	Non-cancerous	B cell	cell	BL2126	curated
